x,y,heading
12.403277,0.640325,0.852822
12.544438,0.780883,0.758452
12.696280,0.909787,0.668462
12.859134,1.024505,0.584649
13.030672,1.125732,0.507355
13.209889,1.212715,0.437595
13.395102,1.286026,0.376153
13.585230,1.345531,0.321631
13.778499,1.393931,0.275201
13.974193,1.431522,0.235892
14.170281,1.467010,0.203547
14.366704,1.500603,0.177720
14.563499,1.531944,0.158261
14.760583,1.561408,0.143641
14.957940,1.588984,0.133858
15.155597,1.614319,0.123390
15.353486,1.637780,0.111756
15.551589,1.659353,0.099464
15.749887,1.679067,0.086254
15.948317,1.697365,0.071862
16.147038,1.712167,0.055355
16.346029,1.722729,0.033782
16.545178,1.729702,0.006384
16.744422,1.732948,-0.026900
16.943691,1.731930,-0.067610
17.142786,1.724433,-0.114406
17.341049,1.704949,-0.167793
17.537530,1.672031,-0.228829
17.731280,1.625754,-0.298753
17.920614,1.563815,-0.378380
18.104483,1.487241,-0.465147
18.281023,1.394969,-0.557120
18.448012,1.286516,-0.650472
18.602417,1.160739,-0.745843
18.740757,1.017533,-0.841500
18.863612,0.860793,-0.941965
18.968253,0.691291,-1.045092
19.059230,0.514094,-1.149417
19.134289,0.329567,-1.252411
19.193514,0.139434,-1.354217
19.227474,-0.056759,-1.456877
19.238590,-0.255548,-1.560124
19.228372,-0.454473,-1.668511
19.199740,-0.651534,-1.778911
19.150463,-0.844509,-1.890381
19.080029,-1.030722,-1.998757
18.988518,-1.207554,-2.103964
18.874461,-1.370793,-2.207394
18.743537,-1.520824,-2.308147
18.598802,-1.657671,-2.405325
18.441490,-1.779822,-2.496253
18.274707,-1.888750,-2.577921
18.098858,-1.982354,-2.648672
17.917053,-2.063808,-2.710480
17.729852,-2.131963,-2.764527
17.539418,-2.190610,-2.811064
17.347633,-2.244718,-2.851274
17.154695,-2.294558,-2.884432
16.960863,-2.340797,-2.911678
16.766201,-2.383407,-2.932198
16.570651,-2.421736,-2.948148
16.374432,-2.456475,-2.962253
16.177607,-2.487610,-2.974908
15.980520,-2.517061,-2.988114
15.783302,-2.545624,-3.003103
15.585956,-2.573283,-3.019045
15.388465,-2.599891,-3.036565
15.190777,-2.624979,-3.055943
14.992551,-2.645285,-3.078305
14.793716,-2.658336,-3.106551
14.594572,-2.665120,-3.140478
14.395313,-2.665105,3.102773
14.196188,-2.657735,3.056540
13.997506,-2.642730,3.005867
13.800205,-2.615143,2.951327
13.604965,-2.575492,2.891257
13.412753,-2.523156,2.823193
13.224713,-2.457357,2.747127
13.041629,-2.378857,2.663131
12.864925,-2.286860,2.573183
12.696971,-2.179905,2.479845
12.542395,-2.054358,2.383646
12.403713,-1.911554,2.287073
12.282759,-1.753365,2.188537
12.182056,-1.581588,2.089017
12.097430,-1.401259,1.986560
12.029618,-1.213949,1.885840
11.975445,-1.022245,1.784507
11.938646,-0.826460,1.683184
11.919202,-0.628285,1.581734
11.924029,-0.429191,1.477032
11.948345,-0.231542,1.371947
11.997210,-0.038490,1.265127
12.068225,0.147470,1.159341
12.161217,0.323559,1.053714
12.274998,0.486955,0.952259
